Description,Silhouette,Fabric,Neckline,Sleeve,Length,Embellishment,Color,Category
Floor length chiffon bridesmaid dress with pleated bodice and V neckline in sage,A-Line,Chiffon,V-Neck,Sleeveless,Floor,Pleated,Sage,Bridesmaid
Sparkly sequin fitted prom gown featuring a deep illusion neckline and open back,Fitted,Sequin,Illusion,Sleeveless,Floor,Sequin,Silver,Prom
Off shoulder satin ball gown with corset bodice and sweep train in royal navy,Ball Gown,Satin,Off Shoulder,Sleeveless,Floor,Corset,Royal Navy,Formal
Lace mermaid wedding dress with long sleeves and scalloped hem,Mermaid,Lace,Round,Long,Floor,Lace,White,Wedding
Short cocktail dress with feather trim and beaded waist detail,Fit and Flare,Crepe,Round,Sleeveless,Short,Feather,Black,Cocktail
Tulle A-line evening gown with floral embroidery and cap sleeves,A-Line,Tulle,Round,Cap,Floor,Embroidery,Pink,Evening
Stretch jersey sheath dress with ruched waist and side slit,Sheath,Jersey,Boat,Short,Maxi,Ruched,Red,Casual
Strapless sweetheart neckline glitter gown with layered skirt,Ball Gown,Tulle,Sweetheart,Strapless,Floor,Glitter,Gold,Prom
One shoulder draped chiffon dress with high slit and empire waist,A-Line,Chiffon,One Shoulder,Sleeveless,Floor,Draped,Emerald,Evening
Velvet winter formal dress with square neckline and puff sleeves,Sheath,Velvet,Square,Puff,Maxi,None,Maroon,Formal
Satin sheath evening dress with halter neckline and crystal belt,Sheath,Satin,Halter,Sleeveless,Floor,Crystal,Navy,Evening
Tea length lace cocktail dress with illusion sleeves,A-Line,Lace,Illusion,Three Quarter,Tea,Lace,Dusty Blue,Cocktail
Silk wrap dress with V neckline and flutter sleeves,Wrap,Silk,V-Neck,Flutter,Knee,None,Olive,Casual
Organza ball gown with embroidered bodice and sweetheart neckline,Ball Gown,Organza,Sweetheart,Sleeveless,Floor,Embroidery,Lavender,Formal
Crepe mermaid dress with bateau neckline and long sleeves,Mermaid,Crepe,Bateau,Long,Floor,None,Burgundy,Evening
Chiffon maxi dress with floral print and spaghetti straps,A-Line,Chiffon,Square,Spaghetti,Maxi,Print,Yellow,Casual
Off shoulder velvet cocktail dress with pearl embellishments,Fitted,Velvet,Off Shoulder,Short,Knee,Pearl,Emerald,Cocktail
Lace fit and flare dress with cap sleeves and scalloped neckline,Fit and Flare,Lace,Round,Cap,Knee,Lace,Navy,Casual
Jersey bodycon dress with scoop neckline and side ruching,Bodycon,Jersey,Scoop,Sleeveless,Knee,Ruched,Black,Casual
High low satin evening dress with halter neck,A-Line,Satin,Halter,Sleeveless,High-Low,None,Royal Blue,Evening
Floral chiffon bridesmaid dress with flutter sleeves,A-Line,Chiffon,V-Neck,Flutter,Floor,Print,Dusty Rose,Bridesmaid
One shoulder sequin gown with thigh high slit,Sheath,Sequin,One Shoulder,Sleeveless,Floor,Sequin,Champagne,Prom
Mikado ball gown with off shoulder neckline and bow detail,Ball Gown,Mikado,Off Shoulder,Sleeveless,Floor,Bow,Ivory,Wedding
Simple crepe wedding gown with square neckline and long sleeves,A-Line,Crepe,Square,Long,Floor,None,White,Wedding
Satin bridesmaid dress with cowl neckline and spaghetti straps,Sheath,Satin,Cowl,Spaghetti,Floor,None,Sage,Bridesmaid
Glitter tulle princess gown with illusion bodice,Ball Gown,Tulle,Illusion,Sleeveless,Floor,Glitter,Blush,Prom
Velvet sheath dress with boat neckline and three quarter sleeves,Sheath,Velvet,Boat,Three Quarter,Knee,None,Forest Green,Formal
Linen summer dress with square neck and puff sleeves,A-Line,Linen,Square,Puff,Midi,None,Beige,Casual
Cotton fit and flare dress with sweetheart neckline,Fit and Flare,Cotton,Sweetheart,Short,Midi,None,Sky Blue,Casual
Silk evening gown with cowl neckline and crystal straps,Sheath,Silk,Cowl,Spaghetti,Floor,Crystal,Champagne,Evening
Mermaid satin wedding dress with lace appliques,Mermaid,Satin,Sweetheart,Sleeveless,Floor,Applique,White,Wedding
Short sequin party dress with halter neckline,Fitted,Sequin,Halter,Sleeveless,Short,Sequin,Silver,Party
Off shoulder chiffon bridesmaid gown with ruched bodice,A-Line,Chiffon,Off Shoulder,Sleeveless,Floor,Ruched,Dusty Blue,Bridesmaid
Velvet A-line dress with V neckline and belt,A-Line,Velvet,V-Neck,Long,Midi,Belt,Navy,Formal
Jersey maxi dress with scoop neck and side slit,Sheath,Jersey,Scoop,Short,Maxi,None,Olive,Casual
Organza wedding ball gown with pearl embroidery,Ball Gown,Organza,Sweetheart,Cap,Floor,Pearl,White,Wedding
Crepe sheath cocktail dress with asymmetrical neckline,Sheath,Crepe,Asymmetrical,Sleeveless,Knee,None,Black,Cocktail
Lace evening gown with illusion neckline and cap sleeves,A-Line,Lace,Illusion,Cap,Floor,Lace,Mauve,Evening
Silk A-line bridesmaid dress with empire waist,A-Line,Silk,V-Neck,Sleeveless,Floor,None,Sage,Bridesmaid
Tulle prom gown with glitter bodice and layered skirt,Ball Gown,Tulle,Sweetheart,Strapless,Floor,Glitter,Rose Gold,Prom
Cotton shirt dress with collar and rolled sleeves,Shirt,Cotton,Collar,Short,Knee,Buttons,White,Casual
Chiffon wrap maxi dress with floral embroidery,Wrap,Chiffon,V-Neck,Flutter,Maxi,Embroidery,Coral,Casual
Velvet mermaid evening dress with square neckline,Mermaid,Velvet,Square,Long,Floor,None,Plum,Evening
Lace sheath wedding dress with bateau neckline,Sheath,Lace,Bateau,Long,Floor,Lace,Ivory,Wedding
Satin cocktail dress with sweetheart neckline and bow,Fitted,Satin,Sweetheart,Sleeveless,Knee,Bow,Red,Cocktail
Floral organza ball gown with puff sleeves,Ball Gown,Organza,Round,Puff,Floor,Print,Light Blue,Formal
Crepe bridesmaid dress with one shoulder neckline,A-Line,Crepe,One Shoulder,Sleeveless,Floor,None,Eucalyptus,Bridesmaid
Bodycon jersey party dress with square neckline,Bodycon,Jersey,Square,Sleeveless,Mini,None,Black,Party
Sequined mermaid prom dress with illusion back,Mermaid,Sequin,Illusion,Sleeveless,Floor,Sequin,Midnight Blue,Prom
Tulle A-line wedding dress with lace bodice,A-Line,Tulle,V-Neck,Cap,Floor,Lace,White,Wedding
